Id,Status,Created at,Updated at,Transaction type,Payment type,Data,Payment data,Deleted at,Piece disponibility
199,3,2016-04-21 12:16:22 UTC,2016-06-23 13:33:05 UTC,2,1,"{""piece_id"": 216}","{""payment"": ""PAY-2F614928DY882920TK4MMJFQ""}",,0
198,3,2016-04-21 12:11:54 UTC,2016-06-23 13:33:05 UTC,2,1,"{""piece_id"": 215}","{""payment"": ""PAY-166196707C441260AK4MMHCI""}",,0
197,3,2016-04-21 12:06:52 UTC,2016-06-23 13:33:05 UTC,2,1,"{""piece_id"": 214}","{""payment"": ""PAY-9E5091661W625123EK4MMEWA""}",,0
195,3,2016-04-21 11:43:59 UTC,2016-06-23 13:33:05 UTC,2,1,"{""piece_id"": 213}","{""payment"": ""PAY-49B9081721960154MK4ML2CY""}",,0
183,3,2016-04-21 10:50:02 UTC,2016-06-23 13:33:05 UTC,6,1,"{""pass_id"": 12}","{""payment"": ""PAY-9JH65729EC977480NK4MLAVY"", ""buyer"": ""62""}",,0
176,3,2016-04-21 10:27:57 UTC,2016-06-23 13:33:05 UTC,2,2,"{""piece_id"": 212}","{""payment"": ""9""}",,0
174,3,2016-04-19 09:23:13 UTC,2016-06-23 13:33:05 UTC,2,2,"{""piece_id"": 210}","{""payment"": ""12""}",,0
173,3,2016-04-19 09:22:21 UTC,2016-06-23 13:33:05 UTC,2,2,"{""piece_id"": 210}","{""payment"": ""13""}",,0
156,3,2016-04-14 04:58:35 UTC,2016-06-23 13:33:05 UTC,2,1,"{""piece_id"": 195}","{""payment"": ""PAY-3GR70303BK3268404K4HSIDA""}",,0
154,3,2016-04-14 02:47:21 UTC,2016-06-23 13:33:05 UTC,2,2,"{""piece_id"": 193}","{""payment"": ""9""}",,0
